ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,ขนาดเรือ,พื้นที่ทำการประมง,ชนิดสัตว์น้ำ,ปริมาณ(ตัน),มูลค่า(พันบาท)
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาน้ำดอกไม้,1,56
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาจวด,1,47
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาทรายแดง,3,160
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาทรายขาว,1,35
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาปากคม,6,194
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาดาบเงิน,1,82
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาลิ้นหมา,1,86
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาเลยหน้าดิน,21,849
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปลาเป็ด,158,1451
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,กุ้งกุลาลาย,1,380
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,กุ้งโอคัก,3,453
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,กุ้งอื่นๆ,5,476
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปูม้า,1,211
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,ปูอื่นๆ,1,173
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,หมึกกล้วย,12,2608
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,หมึกกระดอง,2,338
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อันดามัน,หมึกสาย,1,120
2566,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,น้อยกว่า 30 ตันกรอส,อ่าวไทย,ปลาสีกุน,1,39
